Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
Media{id=1, title='Inception', release_date=2010-07-16, avg_rating=1, type='Science Fiction'}
Media{id=2, title='The Godfather', release_date=1972-03-24, avg_rating=1, type='Crime Drama'}
Media{id=3, title='Pulp Fiction', release_date=1994-10-14, avg_rating=1, type='Crime Thriller'}
Media{id=4, title='The Dark Knight', release_date=2008-07-18, avg_rating=1, type='Superhero'}
Media{id=5, title='Forrest Gump', release_date=1994-07-06, avg_rating=1, type='Drama'}
